user_id,trip_id,timestamp,speed_kmph,battery_level_percent,tire_pressure_psi,cabin_temp_c
user_0,0_trip_0,2025-01-02T00:00:00,100.6,100.0,30.63,23.7
user_0,0_trip_0,2025-01-02T00:00:30,74.4,99.75,34.11,23.0
user_0,0_trip_0,2025-01-02T00:01:00,101.9,98.12,33.31,22.0
user_0,0_trip_0,2025-01-02T00:01:30,39.9,97.62,31.19,22.9
user_0,0_trip_0,2025-01-02T00:02:00,84.4,98.19,32.8,23.9
user_0,0_trip_0,2025-01-02T00:02:30,76.4,97.07,33.22,21.3
user_0,0_trip_0,2025-01-02T00:03:00,38.9,96.11,30.27,20.7
user_0,0_trip_0,2025-01-02T00:03:30,92.9,97.85,31.2,21.8
user_0,0_trip_0,2025-01-02T00:04:00,62.9,96.69,34.23,20.7
user_0,0_trip_0,2025-01-02T00:04:30,61.9,97.31,32.0,21.1
user_0,0_trip_0,2025-01-02T00:05:00,61.9,93.52,34.44,20.4
user_0,0_trip_0,2025-01-02T00:05:30,72.0,95.43,34.8,22.8
user_0,0_trip_0,2025-01-02T00:06:00,43.9,98.6,33.18,22.9
user_0,0_trip_0,2025-01-02T00:06:30,10.4,90.28,33.01,23.8
user_0,0_trip_0,2025-01-02T00:07:00,117.7,87.57,34.29,24.7
user_0,0_trip_0,2025-01-02T00:07:30,35.7,92.71,32.83,23.1
user_0,0_trip_0,2025-01-02T00:08:00,18.8,97.79,32.32,23.9
user_0,0_trip_0,2025-01-02T00:08:30,61.0,87.86,33.45,21.4
user_0,0_trip_0,2025-01-02T00:09:00,102.1,83.26,30.4,20.4
user_0,0_trip_0,2025-01-02T00:09:30,114.3,81.71,32.37,20.8
user_0,0_trip_0,2025-01-02T00:10:00,33.5,83.9,31.5,23.7
user_0,0_trip_0,2025-01-02T00:10:30,32.5,93.03,34.21,22.9
user_0,0_trip_0,2025-01-02T00:11:00,20.9,94.16,34.56,22.6
user_0,0_trip_0,2025-01-02T00:11:30,47.7,82.49,34.2,24.9
user_0,0_trip_0,2025-01-02T00:12:00,59.2,93.6,30.11,20.3
user_0,0_trip_0,2025-01-02T00:12:30,76.5,96.99,32.28,20.1
user_0,0_trip_0,2025-01-02T00:13:00,68.4,85.75,34.32,24.8
user_0,0_trip_0,2025-01-02T00:13:30,78.9,73.14,32.23,23.4
user_0,0_trip_0,2025-01-02T00:14:00,78.9,81.65,31.65,25.0
user_0,0_trip_0,2025-01-02T00:14:30,108.6,77.28,34.37,22.1
user_0,0_trip_1,2025-01-03T00:00:00,84.3,100.0,32.12,23.0
user_0,0_trip_1,2025-01-03T00:00:30,1.6,99.81,33.47,22.8
user_0,0_trip_1,2025-01-03T00:01:00,15.3,99.42,34.29,21.4
user_0,0_trip_1,2025-01-03T00:01:30,22.5,98.02,34.91,21.4
user_0,0_trip_1,2025-01-03T00:02:00,58.0,99.47,30.68,24.6
user_0,0_trip_1,2025-01-03T00:02:30,13.9,96.38,31.97,23.3
user_0,0_trip_1,2025-01-03T00:03:00,108.5,97.74,31.35,22.1
user_0,0_trip_1,2025-01-03T00:03:30,74.6,97.03,34.81,23.4
user_0,0_trip_1,2025-01-03T00:04:00,107.7,93.17,32.66,22.4
user_0,0_trip_1,2025-01-03T00:04:30,55.0,97.13,34.49,20.3
user_0,0_trip_1,2025-01-03T00:05:00,82.3,97.09,32.2,23.3
user_0,0_trip_1,2025-01-03T00:05:30,72.4,89.55,30.47,23.9
